diagnosis_code,diagnosis_desc,fce,admissions,emergency,waiting_list,mean_los_days,mean_age,year,baseline_admissions,baseline_waiting,pct_change_admissions,pct_change_waiting,backlog_trap
T66-T78,Other and unspecified effects of external causes,7535,7535,5907,696,3.2,34,1998,20005,1169,-62.3344164,-40.46193328,FALSE
T80-T88,Complications of surgical & medical care nec.,112441,112441,57866,36082,8.7,54,1998,217900,75238,-48.39788894,-52.04285069,FALSE
T90-T98,Sequelae of injuriesof poisoning & other consequences,1875,1875,335,1271,11.5,40,1998,,,,,FALSE
Z00-Z13,Examination and investigation,209094,209094,13647,112100,4,53,1998,313949,169841,-33.39873674,-33.9970914,FALSE
Z20-Z29,Potential health hazards related to communicable diseases,7808,7808,715,1906,1.7,14,1998,15234,4056,-48.74622555,-53.00788955,FALSE
Z30-Z39,Health services in circumstances related to reproduction,578250,578250,6861,95993,1.8,10,1998,539391,20477,7.204235888,368.7844899,FALSE
Z40-Z54,Persons encountering health services for specific care,171857,171857,15236,98103,14.9,50,1998,127826,84332,34.44604384,16.32950719,FALSE
Z55-Z65,Potential health hazards reltd. to socioeconomic & psychosoc.l,1743,1743,974,310,15.1,46,1998,732,11,138.1147541,2718.181818,FALSE
Z70-Z76,Persons encountering health services in other circs.,72314,72314,14441,17060,12.2,49,1998,22958,3447,214.9838836,394.9231216,FALSE
Z80-Z99,Persons with potential health hazards related to family,20964,20964,1207,11499,9.5,51,1998,9943,1391,110.8417983,726.6714594,FALSE
A00-A09,Intestinal infectious diseases,40270,40270,32631,3743,3.4,20,1999,159034,35016,-74.67837066,-89.31060087,FALSE
A15-A19,Tuberculosis,5011,5011,2328,991,18.3,43,1999,2225,529,125.2134831,87.33459357,FALSE
A20-A49,Certain bacterial diseases,22567,22567,15248,603,12.6,46,1999,156114,2491,-85.54453797,-75.79285428,FALSE
A50-A64,Infections with predominantly sexual mode of transmission,3524,3524,609,2469,3.3,35,1999,2405,1411,46.52806653,74.98228207,FALSE
A65-A79,Other infectious and parasitic disorders,232,232,134,48,21.5,37,1999,662,161,-64.95468278,-70.1863354,FALSE
A80-A89,Viral infections of the central nervous system,2597,2597,1935,67,7.9,29,1999,3913,86,-33.63148479,-22.09302326,FALSE
A90-A99,Arthropod-borne viral fevers & viral haemorrhagic fevers,28,28,24,0,3.4,40,1999,192,6,-85.41666667,-100,FALSE
B00-B09,Viral infections characterized by skin & mucous mem. lesns.,12479,12479,7039,3962,5.5,34,1999,17456,3352,-28.51168653,18.19809069,FALSE
B15-B19,Viral hepatitis,4932,4932,1323,2364,4.3,40,1999,2394,532,106.0150376,344.3609023,FALSE
B20-B24,Human imrnunodeficiency virus [HIV] disease,5103,5103,1772,1296,12.1,38,1999,,,,,FALSE
B25-B34,Other viral diseases,38539,38539,36004,490,1.7,12,1999,118995,840,-67.61292491,-41.66666667,FALSE
B35-B49,Mycoses,3438,3438,1448,1050,7,44,1999,8470,3847,-59.40968123,-72.70600468,FALSE
B50-B64,Protozoal diseases,2787,2787,2155,169,4.6,34,1999,2209,213,26.16568583,-20.657277,FALSE
B65-B83,Helminthiases,469,469,251,153,4.4,28,1999,887,466,-47.12514092,-67.16738197,FALSE
B85-B99,Other infectious and parasitic diseases,1326,1326,885,159,7.3,33,1999,3536,78,-62.5,103.8461538,FALSE
C00-C14,Malignant neoplasm of liporal cavity and pharynx,14595,14595,1667,6458,10.1,59,1999,,,,,FALSE
C15-C26,Malignant neoplasm of digestive organs,246278,246278,31146,86252,11.5,65,1999,268681,101300,-8.338140769,-14.85488648,FALSE
C30-C39,Malignant neoplasms of respiratory & intrathoracic organs,88344,88344,22551,27825,9.6,66,1999,115023,37403,-23.19449154,-25.60757159,FALSE
C40-C41,Malignant neoplasm of bone and articular cartilage,5279,5279,904,1927,7.2,27,1999,7261,1781,-27.29651563,8.197641774,FALSE
C43-C44,Malignant neoplasms of skin,58042,58042,1179,50031,4.9,69,1999,154472,144205,-62.42555285,-65.30564127,FALSE
